feature,mean_abs_shap
FLAG_DOCUMENT_11,7.152196356439066e-06
REG_REGION_NOT_LIVE_REGION,6.592506814345391e-06
FLAG_CONT_MOBILE,6.3924607423491405e-06
FLAG_DOCUMENT_14,6.391450954498075e-06
FLAG_DOCUMENT_9,5.4424195123603204e-06
AMT_REQ_CREDIT_BUREAU_HOUR,3.1697817636757397e-06
FLAG_DOCUMENT_15,1.6048857616401053e-06
NONLIVINGAPARTMENTS_MODE,7.220668862761955e-07
NONLIVINGAPARTMENTS_MEDI,4.013405534763393e-07
NONLIVINGAPARTMENTS_AVG,2.9512813037458615e-07
FLAG_DOCUMENT_17,1.1781288122184992e-07
FLAG_DOCUMENT_21,9.18552925404545e-08
FLAG_DOCUMENT_20,7.969271133519134e-08
FLAG_DOCUMENT_19,3.3211912080587434e-08
FLAG_DOCUMENT_2,1.3425597046874156e-08
FLAG_DOCUMENT_4,7.387438655298804e-09
FLAG_DOCUMENT_7,6.3225811289221685e-09
FLAG_DOCUMENT_10,1.386377661801389e-09
CODE_GENDER_XNA,4.118794077969444e-10
FLAG_DOCUMENT_12,7.152735380404298e-11
FLAG_MOBIL,0.0
NAME_FAMILY_STATUS_Unknown,0.0
LONG_EMPLOYED,0.0
