RiskBucket,count,Avg_PD,default_rate,population_share
Low,44862,0.04389694934302701,0.044447416521777895,0.7294278327886444
Medium,15239,0.16179532240215433,0.1598530087276068,0.24777653122611906
High,1402,0.3648799106296221,0.38159771754636235,0.02279563598523649
