base_feature,mean_abs_shap
remainder__COMMONAREA_AVG,3.6463089434172246e-05
remainder__NONLIVINGAREA_MODE,3.5853662123688e-05
remainder__LANDAREA_AVG,3.5824800522232705e-05
remainder__NONLIVINGAREA_MEDI,3.531976480667799e-05
remainder__NONLIVINGAREA_AVG,3.517326024722455e-05
remainder__COMMONAREA_MODE,3.0202119531804552e-05
remainder__LIVE_REGION_NOT_WORK_REGION,2.8977658961804902e-05
cat__NAME_HOUSING_TYPE_Office apartment,2.871205879957447e-05
remainder__YEARS_BEGINEXPLUATATION_MODE,2.4975371979831768e-05
remainder__YEARS_BEGINEXPLUATATION_MEDI,2.374680957839545e-05
remainder__YEARS_BEGINEXPLUATATION_AVG,2.36273620505183e-05
remainder__AMT_REQ_CREDIT_BUREAU_DAY,1.3800527103292078e-05
remainder__REGION_POPULATION_RELATIVE,9.774605879363917e-06
remainder__FLAG_DOCUMENT_11,7.152196356439053e-06
remainder__REG_REGION_NOT_LIVE_REGION,6.592506814354435e-06
remainder__FLAG_CONT_MOBILE,6.392460742349148e-06
remainder__FLAG_DOCUMENT_14,6.391450954498092e-06
remainder__FLAG_DOCUMENT_9,5.442419512360333e-06
remainder__AMT_REQ_CREDIT_BUREAU_HOUR,3.1697817636757224e-06
remainder__FLAG_DOCUMENT_15,1.6048857616401045e-06
remainder__NONLIVINGAPARTMENTS_MODE,7.220668862756007e-07
remainder__NONLIVINGAPARTMENTS_MEDI,4.0134055347662535e-07
remainder__NONLIVINGAPARTMENTS_AVG,2.9512813037492194e-07
remainder__FLAG_DOCUMENT_17,1.1781288122184995e-07
remainder__FLAG_DOCUMENT_21,9.185529254045454e-08
remainder__FLAG_DOCUMENT_20,7.969271133519134e-08
remainder__FLAG_DOCUMENT_19,3.321191208058741e-08
remainder__FLAG_DOCUMENT_2,1.3425597046874156e-08
remainder__FLAG_DOCUMENT_4,7.387438655298804e-09
remainder__FLAG_DOCUMENT_7,6.322581128922169e-09
remainder__FLAG_DOCUMENT_10,1.386377661801389e-09
cat__CODE_GENDER_XNA,4.118794077969444e-10
remainder__FLAG_DOCUMENT_12,7.152735380404298e-11
cat__NAME_FAMILY_STATUS_Unknown,0.0
remainder__FLAG_MOBIL,0.0
remainder__LONG_EMPLOYED,0.0
